Oro,Plata,Bronce,Total,Pais
,1,2,3,Argentina
,2,2,4,Armenia
17,7,22,46,Australia
1,1,5,7,Austria
,3,4,7,Azerbaijan
2,,,2,Bahamas
,1,,1,Bahrain
1,3,3,7,Belarus
3,1,3,7,Belgium
1,,,1,Bermuda
,,1,1,Botswana
7,6,8,21,Brazil
3,1,2,6,Bulgaria
,,1,1,Burkina Faso
7,6,11,24,Canada
2,4,6,12,Chinese Taipei
,4,1,5,Colombia
3,3,2,8,Croatia
,,1,1,Cie d'Ivoire
7,3,5,15,Cuba
4,4,3,11,Czech Republic
3,4,4,11,Denmark
,3,2,5,Dominican Republic
2,1,,3,Ecuador
1,1,4,6,Egypt
39,41,33,113,Estados Unidos de America
1,,1,2,Estonia
1,1,2,4,Ethiopia
1,,1,2,Fiji
,,2,2,Finland
1,12,11,33,France
2,5,1,8,Georgia
1,11,16,37,Germany
,,1,1,Ghana
22,21,22,65,Gran Bretana
2,1,1,4,Greece
,,1,1,Grenada
1,2,3,6,"Hong Kong, China"
6,7,7,2,Hungary
1,2,4,7,India
1,1,3,5,Indonesia
2,,2,4,Ireland
3,2,2,7,Islamic Republic of Iran
2,,2,4,Israel
1,1,2,4,Italy
4,1,4,9,Jamaica
27,14,17,58,Japon
,1,1,2,Jordan
,,8,8,Kazakhstan
4,4,2,1,Kenya
2,,,2,Kosovo
,,1,1,Kuwait
,2,1,3,Kyrgyzstan
1,,1,2,Latvia
,1,,1,Lithuania
,1,1,2,Malaysia
,,4,4,Mexico
,1,3,4,Mongolia
1,,,1,Morocco
,1,,1,Namibia
1,12,14,36,Netherlands
7,6,7,2,New Zealand
,1,1,2,Nigeria
,1,,1,North Macedonia
4,2,2,8,Norway
1,2,1,4,Philippines
4,5,5,14,Poland
1,1,2,4,Portugal
1,,,1,Puerto Rico
2,,1,3,Qatar
6,4,1,2,Republic of Korea
,,1,1,Republic of Moldova
38,32,18,88,Republica Popular de China
2,28,23,71,ROC
1,3,,4,Romania
,1,2,3,San Marino
,1,,1,Saudi Arabia
3,1,5,9,Serbia
1,2,1,4,Slovakia
3,1,1,5,Slovenia
1,2,,3,South Africa
3,8,6,17,Spain
3,6,,9,Sweden
3,4,6,13,Switzerland
,,1,1,Syrian Arab Republic
1,,1,2,Thailand
1,1,,2,Tunisia
2,2,9,13,Turkey
,1,,1,Turkmenistan
2,1,1,4,Uganda
1,6,12,19,Ukraine
3,,2,5,Uzbekistan
1,3,,4,Venezuela
